Genes	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene121	120	130	138	122	112	132	96	105	120	97	122	124	90	110	157	104	118	138	105	108	136	30	105	137	125	64	60	62	62	54	73	46	31	81	58	64	58	59	66	74	70	47	85	71	72
Gene122	29	23	24	22	29	22	9	5	8	15	11	8	12	9	8	5	29	16	16	20	8	3	14	8	11	16	15	14	21	18	21	19	18	55	35	41	20	18	40	30	36	24	59	48	47
Gene123	120	125	132	129	121	120	66	42	59	66	66	56	59	55	53	53	56	64	43	49	50	27	53	41	51	40	36	39	43	39	46	22	19	41	28	31	43	30	35	40	39	30	41	41	45
Gene124	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gene125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene130	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Gene132	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	0	2	2	2	1	2	1	1	2	2	2	1	2	2	1	2	2	1	1	2	1	3	3	3
Gene133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	4	1	0	0	0	0	0	0	0
Gene134	2	2	3	3	3	3	5	12	8	4	7	10	6	8	9	5	10	8	8	11	14	3	8	19	14	4	5	4	3	3	6	6	5	8	8	6	5	5	5	6	6	6	7	4	5
Gene135	0	1	2	1	1	2	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	3	3	2	3	3	0	10	10	3	1	2	1	14	2	2	4	3	2	1	4
Gene136	68	66	62	72	67	67	14	5	7	13	6	4	12	6	4	10	9	5	7	9	4	1	11	4	4	16	17	15	16	17	17	12	9	15	11	13	12	15	12	16	12	17	18	15	17
Gene137	2	2	1	2	3	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	0	2	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	0	1	1	1
Gene138	41	39	38	42	42	36	13	15	14	11	13	11	12	10	9	9	16	13	12	13	11	2	15	15	9	12	14	12	11	10	14	7	12	22	17	13	8	7	14	12	15	16	12	9	10
Gene139	5	4	2	1	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene140	363	380	394	373	356	392	293	192	224	298	230	251	290	194	263	319	212	258	160	178	243	101	194	202	271	222	229	231	254	245	253	122	96	217	178	224	305	163	197	214	226	144	228	215	232
Gene141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene142	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0
Gene144	43	44	48	42	36	41	55	77	71	65	73	67	60	65	72	55	79	87	61	65	73	15	72	94	65	49	55	59	50	51	58	35	31	72	55	59	55	42	62	57	52	44	63	50	56
Gene145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene148	20	19	17	16	20	18	13	8	10	12	7	7	13	9	8	11	10	8	10	10	8	2	12	8	7	13	16	14	12	12	13	9	8	16	13	12	10	12	9	13	13	10	12	12	12
Gene149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene150	10	11	12	11	10	11	10	10	10	10	10	7	10	10	8	10	13	11	6	9	7	2	8	9	6	4	5	6	5	4	7	5	6	6	5	5	6	4	6	6	6	5	6	5	5
