Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45
Gene13	6.59	6.55	5.77	5.58	7.01	5.39	10.29	12.8	11.31	6.42	8.53	8.77	11.23	14.09	11.17	6.34	10.25	9.64	8.45	7.3	10.54	4.61	8.14	13.57	12.02	4.8	5.36	4.8	3.74	3.92	5.89	2.84	1.31	3.68	3.3	3.39	4.66	4.45	2.27	3.35	4.57	1.42	5.82	6.07	4.74
Gene14	129.28	127.41	126.74	127.53	132.04	132.96	82.54	81.96	61.01	68.81	85.98	54.87	67.55	77.72	48.42	59.11	93.76	63.42	65.3	76.73	36.2	9.8	81.23	40.55	36.67	62.91	60.47	62.15	66.42	56.02	72.82	40.61	41.61	69.92	61.41	61.76	51.49	49.34	59.23	66.52	61.74	49.23	62.97	55.6	56.62
Gene15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene17	0.09	0.07	0.03	0.1	0.1	0.04	0.06	0	0	0.06	0	0	0.24	0	0.1	0.08	0	0	0.06	0.03	0.07	0.02	0.08	0	0.04	0.2	0.03	0.17	0.12	0.07	0.09	0.03	0	0.1	0.07	0.1	0	0.11	0.22	0.03	0.19	0.21	0.07	0.16	0.03
Gene18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene19	26.99	27.02	27.1	25.79	27.53	29.43	6.3	1.46	3.16	6.38	2.82	2.56	7.52	2.22	2.04	5.28	3	2.88	2.18	3	1.18	0.29	3.29	1.87	2.51	5.5	3.96	4.8	4.69	4.17	5.21	3.6	2.46	4.26	4.09	3.31	5.19	4.9	3.2	3.34	3.23	3.59	3.27	4.14	3.14
Gene20	8.41	8.94	6.7	8.41	10.16	10.25	3.8	2.51	1.33	2.78	1.76	1.52	3.6	1.95	1.05	2.01	1.28	0.94	2.69	3.93	0.68	0.12	3.83	0.55	1.65	3.13	3.19	3.84	3.79	2.97	3.24	3.68	1.44	5.49	2.15	1.42	2.33	2.7	1.49	3.24	3.14	1.47	2.22	2.53	3.21
Gene21	0.29	0	0.11	0.21	0.16	0.41	0	0.18	0	0	0	0	0	0	0.35	0	0.11	0	0.09	0.09	0.11	0	0	0	0	0	0.18	0.08	0.08	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0.12	0	0.1
Gene22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene23	48.79	52.49	47.07	49.48	50.42	49.99	19.27	4.68	4.51	18.16	5.27	4.85	17.92	4.6	3.74	13.04	6.8	2.65	6.11	5.52	3.13	0.62	7.98	3.81	3.97	15.35	12.88	14.01	12.85	13.87	14.25	7.18	5.82	13.54	12.05	8.83	6.19	10.55	12.69	15.08	11.55	9.17	11.19	14.22	10.89
Gene24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene25	5.37	4.78	5.11	5.78	4.85	5.13	4.93	5.97	2.36	5.37	6.51	3.6	4.98	4.84	4.2	3.66	6.28	4.62	5.68	4.72	5.52	1.45	5.8	5.29	2.93	2.97	3.87	3.92	3.3	4.06	4.09	2.22	2.96	4.69	3.84	5.82	5.27	3.8	4.2	4.82	2.87	1.45	4.48	4.91	3.52
Gene26	33.81	23.97	25.84	26.53	23.1	22.76	36.58	33.35	38.92	33.93	37.22	25.45	34.5	29.87	29.32	34.23	33.07	32.94	25.17	29.94	33.92	8.84	28.32	21.65	30	18.86	17.72	17.28	17.42	18.4	21.11	9.74	6.58	23.77	18.35	20.41	23.23	20.33	14.16	19.1	18.59	10.08	17.56	24.68	22.95
Gene27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gene28	0.51	36.05	22.85	37.65	19.46	56.92	0	0	0	0	0	0	0	0.25	0.15	0	1.51	0	0	0	0	0.07	0	0	0	0.21	0	0.11	1.05	0	0	1.75	0.27	0.14	0	0.44	2.79	0.59	0.13	0.4	0	1.61	0.31	0.26	0.13
Gene29	0	0	0	0	0	0	0	0	0.14	0	0	0	0.15	0	0	0	0	0	0	0	0.12	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.13	0.11	0
Gene30	18.47	18.11	12.96	16.94	19.05	14.39	8.82	9.37	4	11.58	4.9	1.32	14.98	7.08	0.67	13.95	4.32	1.96	8.26	4.55	0	0	10.59	2.88	0.76	11.39	17.55	23.11	22.45	17.08	24.09	12.08	21.54	28.38	26.63	14.89	25.31	9.09	14.2	33.24	19.13	37.32	14.31	32.41	18.2
